eventCode,shortName,week,month,semester,year,startDate,finishDate,startTime,endTime,project,individualsNEEDED,milestone,status,PreCovidDATE,References,attachment,cost,DateDue,Chapter,Focus,Abstract,Structure,GeneralDesc,Tasks ,Notes,AntCOMS,Bernds Comments,Richards Comments,costCentre
phd20200701004,tidyPipesPhD,,october,,2020,1/3/2020,8/10/2019,,,PhD,Anthony,PhDmilestone 5,On Target,1/3/2020,,NA,NA,NA,1,NA,NA,NA,key tasks, draft MPD paper2 case study results?,,NA,NA,NA,
fundphd000,scholarship1,,april,s2,2016,7/4/2016,7/9/2019,,,PhD,Anthony,PhDmilestone 37,Complete,7/9/2019,./data/pdfs/,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,cc2291
fundphd001,scholarship2sick,,march,s1,2018,8/3/2019,7/6/2019,,,PhD,Anthony,PhDmilestone 38,Complete,7/6/2019,./data/pdfs/,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,cc2291
fundphd002,scholarship3,,june,all,2019,8/6/2019,30/05/2020,,,PhD,Anthony,PhDmilestone 39,Complete,30/05/2020,./data/pdfs/,Personal stress,NA,NA,all,NA,NA,NA,key pay,,,NA,NA,NA,cc7858
phd20200701010,FINALseminar,,november,,2020,11/1/2020,11/1/2020,10:00,11:00,PhD,Anthony,PhDmilestone 11,On Target,1/11/2019,,NA,NA,NA,all,NA,NA,NA,key tasks,,Final talk for my PhD work,NA,NA,NA,
covid20200000,councilExtra,,february,,2020,17/02/2020,28/02/2020,,,Council,Anthony,Councilmilestone1,Impact,1/3/2020,,Council mentions Covid19 and this issue was highlighted in several comments in council meeting ,NA,NA,all,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200005,councilExtra,,march,,2020,11/3/2020,13/04/2020,,,Council,Anthony,PhDmilestone 31,Impact,1/5/2020,,Setup home office,NA,NA,all,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200003,councilExtra,,march,,2020,31/03/2020,31/03/2020,,,Council,Anthony,PhDmilestone 29,Impact,8/11/2019,,Additional meeting for council,NA,NA,all,NA,NA,NA,Meeting,NA,NA,NA,NA,NA,
covid20200001,councilExtra,,april,,2020,21/04/2020,31/04/2020,,,Council,Anthony,PhDmilestone 27,Impact,6/11/2019,,Issues with Protorical. I highlighted this and had detailed discussions with Chancollor over the matter.,NA,NA,all,NA,NA,NA,Council training,NA,NA,NA,NA,NA,
nature20200701001,tidyPipesPhD,,july,,2020,31/07/2020,31/07/2020,,,Pubs,Anthony,PhDmilestone 17,On Target,8/11/2019,,www.github.com/davan690/tidyPipes/,NA,NA,1,NA,NA,NA,key pay,Introduction,NA,Uniique problem because no mammals before humans,NA,NA,
expense1,RENT271bond,,june,,2020,17/06/2020,17/06/2020,15:00,15:00,finances,Anthony,Lifemilestone2,At Risk,17/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,,bond (half only),NA,NA,NA,
expense2,RENT271,,june,,2020,18/06/2020,18/06/2020,15:00,15:00,finances,Anthony,Lifemilestone3,Complete,18/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense3,RENT271,,june,,2020,19/06/2020,19/06/2020,15:00,15:00,finances,Anthony,Lifemilestone4,Complete,19/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense4,RENT271,,june,,2020,20/06/2020,20/06/2020,15:00,15:00,finances,Anthony,Lifemilestone5,Complete,20/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense5,RENT271,,june,,2020,21/06/2020,21/06/2020,15:00,15:00,finances,Anthony,Lifemilestone6,Complete,21/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,monthly rent,NA,NA,NA,NA,
expense6,power271,,july,,2020,22/06/2020,22/06/2020,15:00,15:00,finances,Anthony,Lifemilestone7,At Risk,22/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,quarterly powerbill,NA,NA,NA,NA,
expense7,gas271,,july,,2020,23/06/2020,23/06/2020,15:00,15:00,finances,Anthony,Lifemilestone8,At Risk,23/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,6month gas bill?,NA,NA,NA,NA,
expense8,internet271,,july,,2020,24/06/2020,24/06/2020,15:00,15:00,finances,Anthony,Lifemilestone9,At Risk,24/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,internet orginally covered by brendan,NA,NA,NA,NA,
expense9,power271,,september,,2020,25/06/2020,25/06/2020,15:00,15:00,finances,Anthony,Lifemilestone10,At Risk,25/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,quarterly powerbill,NA,NA,NA,
expense10,gas271,,september,,2020,26/06/2020,26/06/2020,15:00,15:00,finances,Anthony,Lifemilestone11,At Risk,26/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,6month gas bill?,NA,NA,NA,
expense11,internet271,,september,,2020,27/06/2020,27/06/2020,15:00,15:00,finances,Anthony,Lifemilestone12,At Risk,27/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,New internet plan?,NA,NA,NA,
expense12,internet271,,august,,2020,28/06/2020,28/06/2020,15:00,15:00,finances,Anthony,Lifemilestone13,At Risk,28/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,internet orginally covered by brendan,NA,NA,NA,NA,
expense13,internet271,,june,,2021,29/06/2020,29/06/2020,15:00,15:00,finances,Anthony,Lifemilestone39,Complete,29/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,internet orginally covered by brendan,NA,NA,NA,
repayTIME1,daveChoqScholarship,,june,,2020,30/06/2020,30/06/2020,15:00,15:00,finances,Anthony,Lifemilestone14,Complete,30/06/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
phd20200701001,FullPhDleft,,july,,2020,1/7/2020,31/12/2020,9:00,15:00,PhD,Anthony,PhDmilestone 1,On Target,31/07/2020,,NA,NA,31/12/2020,all,NA,NA,NA,phdLength,Just the full length of time I think I will need to finish my PhD project,,NA,NA,NA,
repayTIME2,daveChoqScholarship,,june,,2020,1/7/2020,1/7/2020,15:00,15:00,finances,Anthony,Lifemilestone15,Complete,1/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME3,daveChoqScholarship,,march ,,2020,2/7/2020,2/7/2020,15:00,15:00,finances,Anthony,Lifemilestone16,Complete,2/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME4,daveChoqScholarship,,march,,2020,3/7/2020,3/7/2020,15:00,15:00,finances,Anthony,Lifemilestone17,Complete,3/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
repayTIME5,daveChoqScholarship,,april,,2020,4/7/2020,4/7/2020,15:00,15:00,finances,Anthony,Lifemilestone18,Complete,4/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
expense12,power271,,march,,2020,5/7/2020,5/7/2020,15:00,15:00,finances,Anthony,Lifemilestone19,Complete,5/7/2020,,./data/pdfs/,NA,NA,all,NA,NA,NA,key pay,NA,NA,NA,NA,NA,
