,X,year,month,yweek,mweek,yday,mday,hour,minute,weekday,bizday,season,values,week,monthweek
1,1,2015,Mar,10,2,68,9,0,0,Monday,TRUE,Winter,Begin of Candidature,10,2
2,2,2015,Mar,10,2,69,10,0,0,Tuesday,TRUE,Winter, ,10,2
3,3,2015,Mar,10,2,70,11,0,0,Wednesday,TRUE,Winter, ,10,2
4,4,2015,Mar,11,2,71,12,0,0,Thursday,TRUE,Winter, ,10,2
5,5,2015,Mar,11,2,72,13,0,0,Friday,TRUE,Winter, ,10,2
6,6,2015,Mar,11,2,73,14,0,0,Saturday,FALSE,Winter, ,10,2
7,7,2015,Mar,11,3,74,15,0,0,Sunday,FALSE,Spring, ,10,3
8,8,2015,Mar,11,3,75,16,0,0,Monday,TRUE,Spring, ,11,3
9,9,2015,Mar,11,3,76,17,0,0,Tuesday,TRUE,Spring, ,11,3
10,10,2015,Mar,11,3,77,18,0,0,Wednesday,TRUE,Spring, ,11,3
11,11,2015,Mar,12,3,78,19,0,0,Thursday,TRUE,Spring, ,11,3
12,12,2015,Mar,12,3,79,20,0,0,Friday,TRUE,Spring, ,11,3
13,13,2015,Mar,12,3,80,21,0,0,Saturday,FALSE,Spring, ,11,3
14,14,2015,Mar,12,4,81,22,0,0,Sunday,FALSE,Spring, ,11,4
15,15,2015,Mar,12,4,82,23,0,0,Monday,TRUE,Spring, ,12,4
16,16,2015,Mar,12,4,83,24,0,0,Tuesday,TRUE,Spring, ,12,4
17,17,2015,Mar,12,4,84,25,0,0,Wednesday,TRUE,Spring, ,12,4
18,18,2015,Mar,13,4,85,26,0,0,Thursday,TRUE,Spring, ,12,4
19,19,2015,Mar,13,4,86,27,0,0,Friday,TRUE,Spring, ,12,4
20,20,2015,Mar,13,4,87,28,0,0,Saturday,FALSE,Spring, ,12,4
21,21,2015,Mar,13,5,88,29,0,0,Sunday,FALSE,Spring, ,12,5
22,22,2015,Mar,13,5,89,30,0,0,Monday,TRUE,Spring, ,13,5
23,23,2015,Mar,13,5,90,31,0,0,Tuesday,TRUE,Spring,Research Plan Review,13,5
24,24,2015,Apr,13,1,91,1,0,0,Wednesday,TRUE,Spring, ,13,1
25,25,2015,Apr,14,1,92,2,0,0,Thursday,TRUE,Spring, ,13,1
26,26,2015,Apr,14,1,93,3,0,0,Friday,FALSE,Spring, ,13,1
27,27,2015,Apr,14,1,94,4,0,0,Saturday,FALSE,Spring, ,13,1
28,28,2015,Apr,14,2,95,5,0,0,Sunday,FALSE,Spring, ,13,2
29,29,2015,Apr,14,2,96,6,0,0,Monday,TRUE,Spring, ,14,2
30,30,2015,Apr,14,2,97,7,0,0,Tuesday,TRUE,Spring, ,14,2
31,31,2015,Apr,14,2,98,8,0,0,Wednesday,TRUE,Spring, ,14,2
32,32,2015,Apr,15,2,99,9,0,0,Thursday,TRUE,Spring, ,14,2
33,33,2015,Apr,15,2,100,10,0,0,Friday,TRUE,Spring, ,14,2
34,34,2015,Apr,15,2,101,11,0,0,Saturday,FALSE,Spring, ,14,2
35,35,2015,Apr,15,3,102,12,0,0,Sunday,FALSE,Spring, ,14,3
36,36,2015,Apr,15,3,103,13,0,0,Monday,TRUE,Spring, ,15,3
37,37,2015,Apr,15,3,104,14,0,0,Tuesday,TRUE,Spring, ,15,3
38,38,2015,Apr,15,3,105,15,0,0,Wednesday,TRUE,Spring, ,15,3
39,39,2015,Apr,16,3,106,16,0,0,Thursday,TRUE,Spring, ,15,3
40,40,2015,Apr,16,3,107,17,0,0,Friday,TRUE,Spring, ,15,3
41,41,2015,Apr,16,3,108,18,0,0,Saturday,FALSE,Spring, ,15,3
42,42,2015,Apr,16,4,109,19,0,0,Sunday,FALSE,Spring, ,15,4
43,43,2015,Apr,16,4,110,20,0,0,Monday,TRUE,Spring, ,16,4
44,44,2015,Apr,16,4,111,21,0,0,Tuesday,TRUE,Spring, ,16,4
45,45,2015,Apr,16,4,112,22,0,0,Wednesday,TRUE,Spring, ,16,4
46,46,2015,Apr,17,4,113,23,0,0,Thursday,TRUE,Spring, ,16,4
47,47,2015,Apr,17,4,114,24,0,0,Friday,TRUE,Spring, ,16,4
48,48,2015,Apr,17,4,115,25,0,0,Saturday,FALSE,Spring, ,16,4
49,49,2015,Apr,17,5,116,26,0,0,Sunday,FALSE,Spring, ,16,5
50,50,2015,Apr,17,5,117,27,0,0,Monday,TRUE,Spring, ,17,5
51,51,2015,Apr,17,5,118,28,0,0,Tuesday,TRUE,Spring, ,17,5
52,52,2015,Apr,17,5,119,29,0,0,Wednesday,TRUE,Spring, ,17,5
53,53,2015,Apr,18,5,120,30,0,0,Thursday,TRUE,Spring, ,17,5
54,54,2015,May,18,1,121,1,0,0,Friday,TRUE,Spring, ,17,1
55,55,2015,May,18,1,122,2,0,0,Saturday,FALSE,Spring, ,17,1
56,56,2015,May,18,2,123,3,0,0,Sunday,FALSE,Spring, ,17,2
57,57,2015,May,18,2,124,4,0,0,Monday,TRUE,Spring, ,18,2
58,58,2015,May,18,2,125,5,0,0,Tuesday,TRUE,Spring, ,18,2
59,59,2015,May,18,2,126,6,0,0,Wednesday,TRUE,Spring, ,18,2
60,60,2015,May,19,2,127,7,0,0,Thursday,TRUE,Spring, ,18,2
61,61,2015,May,19,2,128,8,0,0,Friday,TRUE,Spring, ,18,2
62,62,2015,May,19,2,129,9,0,0,Saturday,FALSE,Spring, ,18,2
63,63,2015,May,19,3,130,10,0,0,Sunday,FALSE,Spring, ,18,3
64,64,2015,May,19,3,131,11,0,0,Monday,TRUE,Spring, ,19,3
65,65,2015,May,19,3,132,12,0,0,Tuesday,TRUE,Spring, ,19,3
66,66,2015,May,19,3,133,13,0,0,Wednesday,TRUE,Spring, ,19,3
67,67,2015,May,20,3,134,14,0,0,Thursday,TRUE,Spring, ,19,3
68,68,2015,May,20,3,135,15,0,0,Friday,TRUE,Spring, ,19,3
69,69,2015,May,20,3,136,16,0,0,Saturday,FALSE,Spring, ,19,3
70,70,2015,May,20,4,137,17,0,0,Sunday,FALSE,Spring, ,19,4
71,71,2015,May,20,4,138,18,0,0,Monday,TRUE,Spring, ,20,4
72,72,2015,May,20,4,139,19,0,0,Tuesday,TRUE,Spring, ,20,4
73,73,2015,May,20,4,140,20,0,0,Wednesday,TRUE,Spring, ,20,4
74,74,2015,May,21,4,141,21,0,0,Thursday,TRUE,Spring, ,20,4
75,75,2015,May,21,4,142,22,0,0,Friday,TRUE,Spring, ,20,4
76,76,2015,May,21,4,143,23,0,0,Saturday,FALSE,Spring, ,20,4
77,77,2015,May,21,5,144,24,0,0,Sunday,FALSE,Spring, ,20,5
78,78,2015,May,21,5,145,25,0,0,Monday,FALSE,Spring, ,21,5
79,79,2015,May,21,5,146,26,0,0,Tuesday,TRUE,Spring, ,21,5
80,80,2015,May,21,5,147,27,0,0,Wednesday,TRUE,Spring, ,21,5
81,81,2015,May,22,5,148,28,0,0,Thursday,TRUE,Spring, ,21,5
82,82,2015,May,22,5,149,29,0,0,Friday,TRUE,Spring, ,21,5
83,83,2015,May,22,5,150,30,0,0,Saturday,FALSE,Spring, ,21,5
84,84,2015,May,22,6,151,31,0,0,Sunday,FALSE,Spring, ,21,6
85,85,2015,Jun,22,1,152,1,0,0,Monday,TRUE,Spring, ,22,1
86,86,2015,Jun,22,1,153,2,0,0,Tuesday,TRUE,Spring, ,22,1
87,87,2015,Jun,22,1,154,3,0,0,Wednesday,TRUE,Spring, ,22,1
88,88,2015,Jun,23,1,155,4,0,0,Thursday,TRUE,Spring, ,22,1
89,89,2015,Jun,23,1,156,5,0,0,Friday,TRUE,Spring, ,22,1
90,90,2015,Jun,23,1,157,6,0,0,Saturday,FALSE,Spring, ,22,1
91,91,2015,Jun,23,2,158,7,0,0,Sunday,FALSE,Spring, ,22,2
92,92,2015,Jun,23,2,159,8,0,0,Monday,TRUE,Spring, ,23,2
93,93,2015,Jun,23,2,160,9,0,0,Tuesday,TRUE,Spring, ,23,2
94,94,2015,Jun,23,2,161,10,0,0,Wednesday,TRUE,Spring, ,23,2
95,95,2015,Jun,24,2,162,11,0,0,Thursday,TRUE,Spring, ,23,2
96,96,2015,Jun,24,2,163,12,0,0,Friday,TRUE,Spring, ,23,2
97,97,2015,Jun,24,2,164,13,0,0,Saturday,FALSE,Spring, ,23,2
98,98,2015,Jun,24,3,165,14,0,0,Sunday,FALSE,Spring, ,23,3
99,99,2015,Jun,24,3,166,15,0,0,Monday,TRUE,Summer, ,24,3
100,100,2015,Jun,24,3,167,16,0,0,Tuesday,TRUE,Summer, ,24,3
101,101,2015,Jun,24,3,168,17,0,0,Wednesday,TRUE,Summer, ,24,3
102,102,2015,Jun,25,3,169,18,0,0,Thursday,TRUE,Summer, ,24,3
103,103,2015,Jun,25,3,170,19,0,0,Friday,TRUE,Summer, ,24,3
104,104,2015,Jun,25,3,171,20,0,0,Saturday,FALSE,Summer, ,24,3
105,105,2015,Jun,25,4,172,21,0,0,Sunday,FALSE,Summer, ,24,4
106,106,2015,Jun,25,4,173,22,0,0,Monday,TRUE,Summer, ,25,4
107,107,2015,Jun,25,4,174,23,0,0,Tuesday,TRUE,Summer, ,25,4
108,108,2015,Jun,25,4,175,24,0,0,Wednesday,TRUE,Summer, ,25,4
109,109,2015,Jun,26,4,176,25,0,0,Thursday,TRUE,Summer, ,25,4
110,110,2015,Jun,26,4,177,26,0,0,Friday,TRUE,Summer, ,25,4
111,111,2015,Jun,26,4,178,27,0,0,Saturday,FALSE,Summer, ,25,4
112,112,2015,Jun,26,5,179,28,0,0,Sunday,FALSE,Summer, ,25,5
113,113,2015,Jun,26,5,180,29,0,0,Monday,TRUE,Summer, ,26,5
114,114,2015,Jun,26,5,181,30,0,0,Tuesday,TRUE,Summer, ,26,5
115,115,2015,Jul,26,1,182,1,0,0,Wednesday,TRUE,Summer, ,26,1
116,116,2015,Jul,27,1,183,2,0,0,Thursday,TRUE,Summer, ,26,1
117,117,2015,Jul,27,1,184,3,0,0,Friday,FALSE,Summer, ,26,1
118,118,2015,Jul,27,1,185,4,0,0,Saturday,FALSE,Summer, ,26,1
119,119,2015,Jul,27,2,186,5,0,0,Sunday,FALSE,Summer, ,26,2
120,120,2015,Jul,27,2,187,6,0,0,Monday,TRUE,Summer, ,27,2
121,121,2015,Jul,27,2,188,7,0,0,Tuesday,TRUE,Summer, ,27,2
122,122,2015,Jul,27,2,189,8,0,0,Wednesday,TRUE,Summer, ,27,2
123,123,2015,Jul,28,2,190,9,0,0,Thursday,TRUE,Summer, ,27,2
124,124,2015,Jul,28,2,191,10,0,0,Friday,TRUE,Summer, ,27,2
125,125,2015,Jul,28,2,192,11,0,0,Saturday,FALSE,Summer, ,27,2
126,126,2015,Jul,28,3,193,12,0,0,Sunday,FALSE,Summer, ,27,3
127,127,2015,Jul,28,3,194,13,0,0,Monday,TRUE,Summer, ,28,3
128,128,2015,Jul,28,3,195,14,0,0,Tuesday,TRUE,Summer, ,28,3
129,129,2015,Jul,28,3,196,15,0,0,Wednesday,TRUE,Summer, ,28,3
130,130,2015,Jul,29,3,197,16,0,0,Thursday,TRUE,Summer, ,28,3
131,131,2015,Jul,29,3,198,17,0,0,Friday,TRUE,Summer, ,28,3
132,132,2015,Jul,29,3,199,18,0,0,Saturday,FALSE,Summer, ,28,3
133,133,2015,Jul,29,4,200,19,0,0,Sunday,FALSE,Summer, ,28,4
134,134,2015,Jul,29,4,201,20,0,0,Monday,TRUE,Summer, ,29,4
135,135,2015,Jul,29,4,202,21,0,0,Tuesday,TRUE,Summer, ,29,4
136,136,2015,Jul,29,4,203,22,0,0,Wednesday,TRUE,Summer, ,29,4
137,137,2015,Jul,30,4,204,23,0,0,Thursday,TRUE,Summer, ,29,4
138,138,2015,Jul,30,4,205,24,0,0,Friday,TRUE,Summer, ,29,4
139,139,2015,Jul,30,4,206,25,0,0,Saturday,FALSE,Summer, ,29,4
140,140,2015,Jul,30,5,207,26,0,0,Sunday,FALSE,Summer, ,29,5
141,141,2015,Jul,30,5,208,27,0,0,Monday,TRUE,Summer, ,30,5
142,142,2015,Jul,30,5,209,28,0,0,Tuesday,TRUE,Summer, ,30,5
143,143,2015,Jul,30,5,210,29,0,0,Wednesday,TRUE,Summer, ,30,5
144,144,2015,Jul,31,5,211,30,0,0,Thursday,TRUE,Summer, ,30,5
145,145,2015,Jul,31,5,212,31,0,0,Friday,TRUE,Summer, ,30,5
146,146,2015,Aug,31,1,213,1,0,0,Saturday,FALSE,Summer, ,30,1
147,147,2015,Aug,31,2,214,2,0,0,Sunday,FALSE,Summer, ,30,2
148,148,2015,Aug,31,2,215,3,0,0,Monday,TRUE,Summer, ,31,2
149,149,2015,Aug,31,2,216,4,0,0,Tuesday,TRUE,Summer, ,31,2
150,150,2015,Aug,31,2,217,5,0,0,Wednesday,TRUE,Summer, ,31,2
151,151,2015,Aug,32,2,218,6,0,0,Thursday,TRUE,Summer, ,31,2
152,152,2015,Aug,32,2,219,7,0,0,Friday,TRUE,Summer, ,31,2
153,153,2015,Aug,32,2,220,8,0,0,Saturday,FALSE,Summer, ,31,2
154,154,2015,Aug,32,3,221,9,0,0,Sunday,FALSE,Summer, ,31,3
155,155,2015,Aug,32,3,222,10,0,0,Monday,TRUE,Summer, ,32,3
156,156,2015,Aug,32,3,223,11,0,0,Tuesday,TRUE,Summer, ,32,3
157,157,2015,Aug,32,3,224,12,0,0,Wednesday,TRUE,Summer, ,32,3
158,158,2015,Aug,33,3,225,13,0,0,Thursday,TRUE,Summer, ,32,3
159,159,2015,Aug,33,3,226,14,0,0,Friday,TRUE,Summer, ,32,3
160,160,2015,Aug,33,3,227,15,0,0,Saturday,FALSE,Summer, ,32,3
161,161,2015,Aug,33,4,228,16,0,0,Sunday,FALSE,Summer, ,32,4
162,162,2015,Aug,33,4,229,17,0,0,Monday,TRUE,Summer, ,33,4
163,163,2015,Aug,33,4,230,18,0,0,Tuesday,TRUE,Summer, ,33,4
164,164,2015,Aug,33,4,231,19,0,0,Wednesday,TRUE,Summer, ,33,4
